,country,description,total_model_predict
0,US,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.",US
1,US,"The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long.",US
2,US,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.",US
3,US,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.",US
4,US,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",US
5,US,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",US
6,US,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",US
7,US,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",US
8,US,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",US
9,US,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021.",US
10,US,"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth.",US
11,US,"This is a delightfully crisp, elegant and lip-smacking wine, that's subtle and easy to love. Lemon peel, apple skin and pear play together well, never becoming distracting, but instead integrating well with one another and the light hint of oak. Food friendly, it's also a great deal.",US
12,US,"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power.",US
13,US,"This has a light yellow color with a touch of green and a subtle smell of crisp green apples. Flavors that are richer than expected, like poached pears, butter and fig. The texture is rich, the body full and the ripe flavors linger on the finish.",US
14,US,"Focused streaks of high-acidity lemon and a low oak profile combine for a refreshing take on Chardonnay, the other components coming together in swathes of fennel and brine. The wine finishes with a hit of power.",US
15,US,"A creamy, buttery texture wraps around a core of bright lemon and apple flavors. This is balanced slightly toward sweetness as the luxurious viscosity carries the vivid flavors into the finish.",US
16,US,"Zesty and mineral, this unoaked, citrusy Chardonnay would make a particularly refreshing apéritif. Flavors of Asian pear and quince are crisp and cutting on the palate. Enjoy now for it's vivacious style.",US
17,US,"Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken.",US
18,US,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end.",US
19,US,"There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors.",US
20,US,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now.",US
21,US,"Polished in every way, this brings an enticing potpourri of almond paste, apple and white pepper. Wild yeast fermentation in oak (30% new) marries complex components in perfect precise balance. As with all the Ponzi 2014 Chardonnays, the acids are bright but not biting, and the wines are built for both near-term enjoyment and medium-term aging.",US
22,US,"Warm vanilla notes are laid across ripe nectarine, apple skin and a twist of lemon rind on this single-vineyard study by the Los Gatos-based winery. Pencil lead kicks off the palate, which then opens into poached apples and lemon oil, laid across a sizzling acidity that lasts long.",US
23,US,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish.",US
24,US,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character.",US
25,US,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt.",US
26,US,"This is the Hearst family's run at a luxury-level Chardonnay, and it's a promising start, with creamy aromas of honeysuckle, light butter and citrus rinds. There's a touch of vanilla bean on the palate, which also shows apple ice cream, flashes of cinnamon and a firmly wound texture. It's delicate, clean, light and quaffable.",US
27,US,"Grapes are sourced from both Stagecoach and Hyde vineyards in this wine that takes its time in the glass coming around. Funky brine and a tropical flourish open on the nose with a severity of oak that mellows slowly. Made in an opulent, full-bodied style, it'll pair well with buttery fare.",US
28,US,"Tropical guava and mango surround a restrained cradling of French oak, only 15% of it new, in this easy-to-like, approachable wine. Wrappings of vanilla and honeysuckle complete the picture, with a straightforward, relatively lengthy finish.",US
29,US,"Caramelized oak makes a statement in this wine that starts out richly and roundly, but finds a sense of balanced acidity in the glass. Medium bodied, it features classic notes of Meyer lemon and Gravenstein apple.",US
30,US,"This presents a big, buttery, bold style, with no apologies for the full body and ripe fruit surrounded by toasty, oaky aromas and flavors. This is dry, rich in texture, and more savory or smoky rather than fruity.",US
31,US,"This well-made, stainless-steel-fermented and aged Chardonnay offers notes of red apple and spice. It's straightforward and provides pleasant, easy drinking.",US
32,US,"From an estate vineyard, this wine is robust, full-bodied and viscous, with an underlying hint of petrol and plenty of oak. There's a tartness behind its flavors that gives it a lift as it finds its way to the finish.",US
33,US,"This bottling is ripe and tropical but approachable on the nose, with honeydew melon, banana and nectarine aromas. There is a decent punch of acidity and noticeable texture upon first sip, veering toward sweet apple and bubblegum flavors on the finish.",US
34,US,"This is full bodied and forward, bringing a generous mouthful of apple, pear and pineapple fruit along with a streak of vanilla wafer. The flavors hit quickly and right up front, then suspend themselves through a lingering finish.",US
35,US,"This is an excellent Chardonnay for an accessible price. It's balanced and textured, with bites of apple and anise highlighting the journey. Power and finesse are offered in equal measure. A delicious wine for the table, it will impress with its depth and complexity.",US
36,US,"Working from an urban winery on Santa Barbara's Eastside, Matthias Pippig created the Loner Chardonnay series. This entry begins with scents of cider, nectarine and lemon-lime soda before delving into a palate laden with yellow fruits and flowers. Sourdough yeastiness surrounds a lingering line of grapefruit zest-led acidity.",US
37,US,"With voluptuous confectionary-like aromas surrounded by a rich toasty character, this wine from the wonderful Hyde Vineyard offers lemon and crisp yellow apple around a core of brilliant minerality. Vanilla and crème brûlée interplay on the palate, the body of the wine firm and round.",US
38,US,"Big points for subtlety, length and elegance here—this is not a wine that will blow you away at first sniff. Stay with it and it stays with you; opening sharp-edged, pungent and slightly grassy, then developing a tightly focused midpalate with pure lime and apple fruit flavors. Accents of mustard greens and white pepper come in as a long, delicate yet detailed finish slowly unfolds.",US
39,US,"This single-vineyard wine shows both the warmth of the vintage and the coolness of this site, boasting depth and richness to the fruit flavors while retaining good acidity. It combines notes of apple, peach and lees with light barrel accents—20% new French—and a creamy feel. Enjoy with shrimp stir fried in olive oil for a pairing nirvana.",France
40,US,"This begins with scents of dried orange rinds and mango laced with honey as well as deeper aromas of rocks and savory herbs. A tight lemon acidity runs down the middle of the palate, with yellow flowers, yeast and toasted pine nuts on the side. It's both racy and rounded, and is showing a touch of age.",US
41,US,"Honeysuckle and jasmine pique interest aromatically before luscious, linear waves of vanilla, caramel and lemon custard graciously interject, buoyed by ample acidity and a lush texture. This Chardonnay offers generous richness alongside high-toned minerality, and is a delicious go-to for buttery lobster dishes.",US
42,US,"The aromas of this Chardonnay are zesty and fresh yet rich, with barrel smoke, caramelized pear and vanilla tones. The integration continues on the palate, with a bit of oak followed by apple, white peach, nectarine and lime zest. It's flavorful and enjoyable now.",US
43,US,"Unctuous and ripe in caramel and toasty aromas, this is deep golden in color but completely crisp and balanced in the glass. The nose is so overwhelming that the flavors take time to show. Once they do, it's a celebration of green apple and melon enveloped in complex minerality and a supple body.",US
44,US,"The oak in this wine is restrained, partly because it aged in stainless steel and a sizable percentage of neutral oak. Still, a richness of apple and pear compote provide a steady level of richness, while a lemon squeeze of acidity keeps it fresh and youthful.",US
45,US,"From a cool part of the Napa Valley, this wine is bright and medium bodied—a moderately oaked mix of lemon custard, floral citrus and green apple flavors with an underlying spark of lemongrass and ginger. Richly layered, it remains balanced and structured as it opens in the glass.",US
46,US,"Many are now playing with the low-alcohol, nervy side of Chardonnay, but Doug Margerum succeeds more than most. This bottling is light in the glass, with clean and crisp Asian pear, nectarine and mandarin pith aromas. The palate is tightly wound and energetic, showing sharp citrus and rounded strone-fruit flavors. Drink now–2030.",US
47,US,"Crisp with peach and apricot goodness, this full-bodied white's gravelly texture works to its advantage, providing both steely acidity and grip. That grit becomes velvety smooth as the wine opens in the glass, making it irresistibly seductive and inviting.",France
48,US,"Grown against all odds (and against all likelihood of economic viability) overlooking the Pacific Ocean atop Catalina Island, this Chardonnay is a success every vintage. It shows a broad spectrum of nutty aromas, from macadamia to cashew, with touches of honey and daffodil. On the palate, expect walnut, vanilla and oak smoke, with a butterscotch-like finish.",US
