,description
0,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028."
1,"The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long."
2,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud."
3,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance."
4,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak."
5,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture."
6,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture."
7,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd."
8,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors."
9,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021."
10,"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth."
11,"This is a delightfully crisp, elegant and lip-smacking wine, that's subtle and easy to love. Lemon peel, apple skin and pear play together well, never becoming distracting, but instead integrating well with one another and the light hint of oak. Food friendly, it's also a great deal."
12,"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power."
13,"This has a light yellow color with a touch of green and a subtle smell of crisp green apples. Flavors that are richer than expected, like poached pears, butter and fig. The texture is rich, the body full and the ripe flavors linger on the finish."
14,"Focused streaks of high-acidity lemon and a low oak profile combine for a refreshing take on Chardonnay, the other components coming together in swathes of fennel and brine. The wine finishes with a hit of power."
15,"A creamy, buttery texture wraps around a core of bright lemon and apple flavors. This is balanced slightly toward sweetness as the luxurious viscosity carries the vivid flavors into the finish."
16,"Zesty and mineral, this unoaked, citrusy Chardonnay would make a particularly refreshing apéritif. Flavors of Asian pear and quince are crisp and cutting on the palate. Enjoy now for it's vivacious style."
17,"Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken."
18,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end."
19,"There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors."
20,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now."
21,"Polished in every way, this brings an enticing potpourri of almond paste, apple and white pepper. Wild yeast fermentation in oak (30% new) marries complex components in perfect precise balance. As with all the Ponzi 2014 Chardonnays, the acids are bright but not biting, and the wines are built for both near-term enjoyment and medium-term aging."
22,"Warm vanilla notes are laid across ripe nectarine, apple skin and a twist of lemon rind on this single-vineyard study by the Los Gatos-based winery. Pencil lead kicks off the palate, which then opens into poached apples and lemon oil, laid across a sizzling acidity that lasts long."
23,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish."
24,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character."
25,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt."
26,"This is the Hearst family's run at a luxury-level Chardonnay, and it's a promising start, with creamy aromas of honeysuckle, light butter and citrus rinds. There's a touch of vanilla bean on the palate, which also shows apple ice cream, flashes of cinnamon and a firmly wound texture. It's delicate, clean, light and quaffable."
